Team_Id,Team_Name
1112,Arizona
1116,Arkansas
1124,Baylor
1137,Bucknell
1139,Butler
1153,Cincinnati
1166,Creighton
1173,Dayton
1181,Duke
1190,ETSU
1195,FL Gulf Coast
1196,Florida
1199,Florida St
1211,Gonzaga
1233,Iona
1235,Iowa St
1240,Jacksonville St
1242,Kansas
1243,Kansas St
1245,Kent
1246,Kentucky
1257,Louisville
1266,Marquette
1268,Maryland
1274,Miami FL
1276,Michigan
1277,Michigan St
1278,Minnesota
1291,Mt St Mary's
1292,MTSU
1297,N Kentucky
1300,NC Central
1305,Nevada
1308,New Mexico St
1309,New Orleans
1314,North Carolina
1315,North Dakota
1321,Northwestern
1323,Notre Dame
1329,Oklahoma St
1332,Oregon
1343,Princeton
1344,Providence
1345,Purdue
1348,Rhode Island
1355,S Dakota St
1371,Seton Hall
1374,SMU
1376,South Carolina
1388,St Mary's CA
1407,Troy
1411,TX Southern
1413,UC Davis
1417,UCLA
1423,UNC Wilmington
1425,USC
1433,VA Commonwealth
1435,Vanderbilt
1436,Vermont
1437,Villanova
1438,Virginia
1439,Virginia Tech
1448,Wake Forest
1452,West Virginia
1455,Wichita St
1457,Winthrop
1458,Wisconsin
1462,Xavier
