Team_Id,Team_Name,Bracket_Name
1112,Arizona,Arizona
1116,Arkansas,Arkansas
1124,Baylor,Baylor
1137,Bucknell,Bucknell
1139,Butler,Butler
1153,Cincinnati,Cincinnati
1166,Creighton,Creighton
1173,Dayton,Dayton
1181,Duke,Duke
1190,ETSU,East Tenn. St.
1195,FL Gulf Coast,Fla. Gulf Coast
1196,Florida,Florida
1199,Florida St,Florida St.
1211,Gonzaga,Gonzaga
1233,Iona,Iona
1235,Iowa St,Iowa St.
1240,Jacksonville St,Jacksonville St.
1242,Kansas,Kansas
1243,Kansas St,Kansas St.
1245,Kent,Kent St.
1246,Kentucky,Kentucky
1257,Louisville,Louisville
1266,Marquette,Marquette
1268,Maryland,Maryland
1274,Miami FL,Miami (Fla.)
1276,Michigan,Michigan
1277,Michigan St,Michigan St.
1278,Minnesota,Minnesota
1291,Mt St Mary's,Mt. St. Mary’s
1292,MTSU,Middle Tenn.
1297,N Kentucky,Northern Ky.
1300,NC Central,N.C. Central
1305,Nevada,Nevada
1308,New Mexico St,New Mexico St.
1309,New Orleans,New Orleans
1314,North Carolina,North Carolina
1315,North Dakota,North Dakota
1321,Northwestern,Northwestern
1323,Notre Dame,Notre Dame
1329,Oklahoma St,Oklahoma St.
1332,Oregon,Oregon
1343,Princeton,Princeton
1344,Providence,Providence
1345,Purdue,Purdue
1348,Rhode Island,Rhode Island
1355,S Dakota St,S. Dakota St.
1371,Seton Hall,Seton Hall
1374,SMU,SMU
1376,South Carolina,South Carolina
1388,St Mary's CA,Saint Mary’s
1407,Troy,Troy
1411,TX Southern,Texas Southern
1413,UC Davis,UC Davis
1417,UCLA,UCLA
1423,UNC Wilmington,UNC Wilmington
1425,USC,USC
1433,VA Commonwealth,VCU
1435,Vanderbilt,Vanderbilt
1436,Vermont,Vermont
1437,Villanova,Villanova
1438,Virginia,Virginia
1439,Virginia Tech,Virginia Tech
1448,Wake Forest,Wake Forest
1452,West Virginia,West Virginia
1455,Wichita St,Wichita St.
1457,Winthrop,Winthrop
1458,Wisconsin,Wisconsin
1462,Xavier,Xavier
